,Unnamed: 0,0,〇,×,pred,ans
0,0,×,,×,×,×
1,1,〇,〇,,〇,〇
2,2,〇,〇,,〇,×
3,3,〇,〇,,〇,〇
4,4,〇,〇,,〇,〇
5,5,×,,×,×,×
6,6,〇,〇,,〇,〇
7,7,〇,〇,,〇,×
8,8,〇,〇,,〇,×
9,9,×,,×,×,×
10,10,×,,×,×,〇
11,11,〇,〇,,〇,〇
12,12,×,,×,×,〇
13,13,×,,×,×,×
14,14,×,,×,×,〇
15,15,〇,〇,,〇,×
16,16,×,,×,×,〇
17,17,×,,×,×,〇
18,18,×,,×,×,×
19,19,〇,〇,,〇,×
20,20,×,,×,×,×
21,21,×,,×,×,×
22,22,×,,×,×,〇
23,23,×,,×,×,〇
24,24,×,,×,×,〇
25,25,×,,×,×,×
26,26,×,,×,×,×
27,27,〇,〇,,〇,〇
28,28,〇,〇,,〇,×
29,29,〇,〇,,〇,〇
30,30,×,,×,×,×
31,31,〇,〇,,〇,〇
32,32,〇,〇,,〇,×
33,33,〇,〇,,〇,〇
34,34,×,,×,×,〇
35,35,〇,〇,,〇,×
36,36,〇,〇,,〇,〇
37,37,〇,〇,,〇,〇
38,38,×,,×,×,×
39,39,×,,×,×,×
40,40,"×

",,×,×,×
41,41,×,,×,×,〇
42,42,〇,〇,,〇,〇
43,43,〇,〇,,〇,×
44,44,〇,〇,,〇,〇
45,45,"×

",,×,×,×
46,46,×,,×,×,×
47,47,〇,〇,,〇,〇
48,48,×,,×,×,×
49,49,〇,〇,,〇,〇
50,50,×,,×,×,×
51,51,〇,〇,,〇,〇
52,52,〇,〇,,〇,〇
53,53,×,,×,×,×
54,54,〇,〇,,〇,〇
55,55,×,,×,×,×
56,56,×,,×,×,〇
57,57,〇,〇,,〇,×
58,58,〇,〇,,〇,〇
59,59,×,,×,×,×
60,60,〇,〇,,〇,〇
61,61,〇,〇,,〇,×
62,62,×,,×,×,〇
63,63,×,,×,×,×
64,64,〇,〇,,〇,×
65,65,〇,〇,,〇,〇
66,66,〇,〇,,〇,×
67,67,×,,×,×,〇
68,68,×,,×,×,×
69,69,×,,×,×,×
70,70,〇,〇,,〇,〇
71,71,〇,〇,,〇,〇
72,72,〇,〇,,〇,×
73,73,"×

",,×,×,〇
74,74,×,,×,×,〇
75,75,×,,×,×,×
76,76,×,,×,×,×
77,77,〇,〇,,〇,〇
78,78,〇,〇,,〇,〇
79,79,×,,×,×,×
