result,answer
True,True
True,False
True,False
True,True
True,False
True,False
True,True
True,True
False,True
True,True
True,False
False,False
True,True
True,False
"与えられた文章は正しいです。""True""を出力します。",True
False,False
True,True
True,False
True,True
True,False
True,False
与えられた文章は正しいです。”True”を出力します。,False
True,True
与えられた文章は正しいです。”True”を出力します。,True
True,False
True,True
True,False
True,True
True,False
True,True
False,True
True,False
True,True
True,False
正しい文章です。True,False
True,True
True,True
True,True
False,False
True,False
True,False
True,True
True,False
True,True
True,False
True,True
False,True
正しいかどうかの判断はできません。,False
True,True
True,False
True,True
True,False
True,True
True,True
False,False
False,False
True,False
True,True
False,True
True,False
True,True
True,True
False,False
True,False
True,False
True,True
True,False
True,True
True,True
True,False
True,True
False,False
False,True
True,False
True,False
False,True
True,False
True,True
True,False
True,True
